ROUTE,REFPT,ENDREFPT,STATIONID,FIPSCITY,CITY,FIPSCOUNTY,COUNTY,LOCATION,COUNTSTATIONFACILITY
002A,0.000,1.056,100163,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O SH 285 HAMPDEN AVE DENVER,1 
002A,1.056,1.506,100166,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O NORTH JCT E YALE AVE DENVER,1 
002A,1.506,1.753,100167,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O EVANS AVE DENVER,1 
002A,1.753,1.858,100168,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O EVANS AVE DENVER,1 
002A,1.858,2.121,100169,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O I-25 DENVER,1 
002A,2.121,2.261,100170,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O I-25 DENVER,1 
002A,2.261,2.500,100171,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O MEXICO AVE DENVER,1 
002A,2.500,2.997,100172,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O FLORIDA AVE DENVER,1 
002A,2.997,3.741,100174,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O MISSISSIPPI AVE DENVER,1 
002A,4.144,4.377,100177,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O ALAMEDA AVE DENVER,1 
002A,4.377,4.578,100178,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O SH 83 LEETSDALE DR DENVER,1 
002A,4.578,4.980,100179,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O 1ST AVE DENVER,1 
002A,4.980,5.203,100181,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O 6TH AVE DENVER,1 
002A,5.203,5.617,100182,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O 8TH AVE DENVER,1 
002A,5.617,5.756,100183,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O 13TH AVE DENVER,1 
002A,5.756,5.869,100184,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O 13TH AVE DENVER,1 
002A,5.869,5.993,000604,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O SH 40 COLFAX AVE DENVER,1 
002A,5.993,6.217,100186,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O SH 40 COLFAX AVE DENVER,1 
002A,6.217,6.472,100187,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O MONTVIEW BLVD DENVER,1 
002A,6.472,6.722,100188,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O MONTVIEW BLVD DENVER,1 
002A,6.722,6.972,100189,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O 23RD AVE DENVER,1 
002A,6.972,7.228,100190,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O 26TH AVE DENVER,1 
002A,7.228,7.475,100191,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O MARTIN LUTHER KING BLVD DENVER,1 
002A,7.475,8.239,100192,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O MARTIN LUTHER KING BLVD DENVER,1 
002A,8.239,8.690,100194,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O I-70 DENVER,1 
002A,8.690,8.977,100195,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD N/O I-70 DENVER,1 
002A,8.977,9.842,100196,20000,Denver,031,Denver,ON SH 2 COLORADO BLVD S/O 52ND AVE DENVER,1 
006G,282.333,283.469,100337,20000,Denver,031,Denver,ON SH 6 6TH AVE E/O SH 95 SHERIDAN BLVD DENVER,1 
006G,283.469,283.863,000503,20000,Denver,031,Denver,ON SH 6 6TH AVE W/O SH 88 FEDERAL BLVD DENVER,0 
006G,283.863,284.187,100339,20000,Denver,031,Denver,ON SH 6 6TH AVE E/O SH 88 FEDERAL BLVD DENVER,1 
006G,284.187,284.657,100340,20000,Denver,031,Denver,ON SH 6 6TH AVE E/O BRYANT ST DENVER,1 
006H,290.980,292.145,100341,20000,Denver,031,Denver,ON SH 6 VASQUEZ BLVD S/O 48TH AVE DENVER,1 
025A,200.132,201.592,100995,20000,Denver,031,Denver,ON I-25 N/O I-225 DENVER,1 
025A,201.592,202.688,100996,20000,Denver,031,Denver,ON I-25 N/O SH 30 & SH 285 HAMPDEN AVE DENVER,1 
025A,202.688,203.537,100997,20000,Denver,031,Denver,ON I-25 N/O YALE AVE DENVER,1 
025A,203.537,204.037,100998,20000,Denver,031,Denver,ON I-25 E/O SH 2 COLORADO BLVD DENVER,1 
025A,204.037,205.057,100999,20000,Denver,031,Denver,ON I-25 W/O SH 2 COLORADO BLVD DENVER,1 
025A,205.057,205.919,101000,20000,Denver,031,Denver,ON I-25 NW/O UNIVERSITY BLVD DENVER,1 
025A,205.919,206.149,101001,20000,Denver,031,Denver,ON I-25 SE/O EMERSON ST DENVER,1 
025A,206.149,206.335,101002,20000,Denver,031,Denver,ON I-25 NW/O EMERSON ST DENVER,1 
025A,206.335,206.991,101003,20000,Denver,031,Denver,ON I-25 SE/O BROADWAY DENVER,1 
025A,206.991,207.581,101004,20000,Denver,031,Denver,ON I-25 NW/O BROADWAY DENVER,1 
025A,207.581,207.990,101005,20000,Denver,031,Denver,ON I-25 S/O SH 26 ALAMEDA AVE DENVER,1 
025A,207.990,209.282,000501,20000,Denver,031,Denver,ON I-25 S/O SH 6 6TH AVE DENVER,0 
025A,209.282,209.479,101007,20000,Denver,031,Denver,ON I-25 N/O SH 6 6TH AVE DENVER,1 
025A,209.479,210.311,101008,20000,Denver,031,Denver,ON I-25 N/O 8TH AVE DENVER,1 
025A,210.311,210.532,101009,20000,Denver,031,Denver,ON I-25 S/O 17TH AVE & 19TH AVE DENVER,1 
025A,210.532,211.109,101010,20000,Denver,031,Denver,ON I-25 S/O 23RD AVE DENVER,1 
025A,211.109,211.464,101011,20000,Denver,031,Denver,ON I-25 N/O 23RD AVE DENVER,1 
025A,211.464,212.096,101012,20000,Denver,031,Denver,ON I-25 NE/O SPEER BLVD DENVER,1 
025A,212.096,212.769,101013,20000,Denver,031,Denver,ON I-25 SW/O FOX ST & 38TH AVE DENVER,1 
025A,212.769,213.647,101014,20000,Denver,031,Denver,ON I-25 NE/O FOX ST & 38TH AVE DENVER,1 
025A,213.647,215.244,101015,20000,Denver,031,Denver,ON I-25 N/O I-70 DENVER,1 
026B,11.170,12.308,101089,20000,Denver,031,Denver,ON SH 26 ALAMEDA AVE E/O SH 95 SHERIDAN BLVD DENVER,1 
026B,12.308,12.699,101092,20000,Denver,031,Denver,ON SH 26 ALAMEDA AVE W/O SH 88 FEDERAL BLVD DENVER,1 
026B,12.699,13.451,101093,20000,Denver,031,Denver,ON SH 26 ALAMEDA AVE E/O SH 88 FEDERAL BLVD DENVER,1 
026B,13.451,13.958,101094,20000,Denver,031,Denver,ON SH 26 ALAMEDA AVE E/O TEJON ST DENVER,1 
026B,13.958,14.140,101095,20000,Denver,031,Denver,ON SH 26 ALAMEDA AVE W/O I-25 DENVER,1 
030A,0.083,0.308,101105,20000,Denver,031,Denver,ON SH 30 HAMPDEN AVE E/O I-25 DENVER,1 
030A,0.308,1.000,101107,20000,Denver,031,Denver,ON SH 30 HAMPDEN AVE E/O MONACO ST DENVER,1 
030A,1.000,1.859,101108,20000,Denver,031,Denver,ON SH 30 HAMPDEN AVE W/O YOSEMITE ST DENVER,1 
030A,1.859,2.335,101109,20000,Denver,031,Denver,ON SH 30 HAMPDEN AVE E/O YOSEMITE ST DENVER,1 
030A,2.335,3.093,106472,20000,Denver,031,Denver,ON SH 30 HAVANA ST S/O DARTMOUTH AVE DENVER,1 
030A,3.093,3.831,101111,20000,Denver,031,Denver,ON SH 30 HAVANA ST S/O SH 83 PARKER RD DENVER,1 
035A,8.435,8.553,203815,20000,Denver,031,Denver,ON SH 35 QUEBEC ST S/O I-70 DENVER,1 
035A,8.553,8.898,101551,20000,Denver,031,Denver,ON SH 35 QUEBEC ST N/O I-70 DENVER,1 
035A,8.898,9.704,101552,20000,Denver,031,Denver,ON SH 35 QUEBEC ST N/O I-270 DENVER,1 
040C,294.273,296.157,101911,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O SH 95 SHERIDAN BLVD DENVER,1 
040C,296.157,296.246,101916,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O SH 287 FEDERAL BLVD DENVER,1 
040C,296.246,297.000,106673,20000,Denver,031,Denver,ON SH 40 COLFAX AVE W/O 7TH ST & OSAGE ST DENVER,1 
040C,297.000,297.219,101917,20000,Denver,031,Denver,ON SH 40 COLFAX AVE W/O MARIPOSA ST DENVER,1 
040C,297.219,297.495,101918,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O MARIPOSA ST DENVER,1 
040C,297.495,297.557,101919,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O KALAMATH ST DENVER,1 
040C,297.557,297.673,101920,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O SPEER BLVD DENVER,1 
040C,297.673,298.049,101921,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O GLENARM ST DENVER,1 
040C,298.049,298.137,101923,20000,Denver,031,Denver,ON SH 40 COLFAX AVE W/O BROADWAY DENVER,1 
040C,298.137,298.203,101924,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O BROADWAY DENVER,1 
040C,298.203,298.326,101925,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O LINCOLN ST DENVER,1 
040C,298.326,298.407,101926,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O GRANT ST DENVER,1 
040C,298.407,298.596,101927,20000,Denver,031,Denver,ON SH 40 COLFAX AVE W/O WASHINGTON ST DENVER,1 
040C,298.596,298.658,101928,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O WASHINGTON ST DENVER,1 
040C,298.658,298.807,106674,20000,Denver,031,Denver,ON SH 40 COLFAX AVE W/O CORONA ST DENVER,1 
040C,298.807,298.846,101929,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O CLARKSON ST DENVER,1 
040C,298.846,298.882,101930,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O CORONA ST DENVER,1 
040C,298.882,298.899,101931,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O DOWNING ST DENVER,1 
040C,298.899,299.143,101932,20000,Denver,031,Denver,ON SH 40 COLFAX AVE W/O FRANKLIN ST & PARK AVE DENVER,1 
040C,299.143,299.603,101933,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O FRANKLIN ST & PARK AVE DENVER,1 
040C,299.603,299.658,101934,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O YORK ST DENVER,1 
040C,299.658,300.625,101935,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O JOSEPHINE ST DENVER,1 
040C,300.625,302.107,101938,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O SH 2 COLO BLVD DENVER,1 
040C,302.107,302.603,101940,20000,Denver,031,Denver,ON SH 40 COLFAX AVE E/O MONACO PKWY DENVER,1 
